id,name,url,
GPL-3.0,GNU General Public License v3.0,https://api.github.com/licenses/gpl-3.0,
Apache-2.0,Apache License 2.0,https://api.github.com/licenses/apache-2.0,
MIT,MIT License,https://api.github.com/licenses/mit,
NOASSERTION,Other,None,
MIT,MIT License,https://api.github.com/licenses/mit,
GPL-3.0,GNU General Public License v3.0,https://api.github.com/licenses/gpl-3.0,
MIT,MIT License,https://api.github.com/licenses/mit,
MIT,MIT License,https://api.github.com/licenses/mit,
Apache-2.0,Apache License 2.0,https://api.github.com/licenses/apache-2.0,
MIT,MIT License,https://api.github.com/licenses/mit,
NOASSERTION,Other,None,
NOASSERTION,Other,None,
Apache-2.0,Apache License 2.0,https://api.github.com/licenses/apache-2.0,
Apache-2.0,Apache License 2.0,https://api.github.com/licenses/apache-2.0,
Apache-2.0,Apache License 2.0,https://api.github.com/licenses/apache-2.0,
Apache-2.0,Apache License 2.0,https://api.github.com/licenses/apache-2.0,
NOASSERTION,Other,None,
MIT,MIT License,https://api.github.com/licenses/mit,
